strategy,symbol,param_idx,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
WeekendGapFade,NEARUSDC,2,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 1.5}",8973.52,-10.2648,-0.0877,6,16.67,0.3573,12.55,-0.9754,117.1
VolBreakoutMom,BNBUSDC,1,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",8947.19,-10.5281,-0.0899,108,32.41,0.9212,32.0,-0.2046,117.1
WeekendGapFade,XRPUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",8916.31,-10.8369,-0.0926,8,37.5,0.485,16.67,-0.5909,117.1
WeekendGapFade,ADAUSDC,2,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 1.5}",8867.21,-11.3279,-0.0968,16,37.5,0.5792,16.15,-0.6091,117.1
WeekendGapFade,DOGEUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",8831.61,-11.6839,-0.0998,32,40.62,0.7359,25.63,-0.4557,117.1
WeekendGapFade,AVAXUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",8827.4,-11.726,-0.1002,28,32.14,0.7357,17.95,-0.4207,117.1
WeekendGapFade,DOGEUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",8821.05,-11.7895,-0.1007,24,37.5,0.7039,19.33,-0.4824,117.1
WeekendGapFade,DOGEUSDC,2,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 1.5}",8771.14,-12.2886,-0.105,16,37.5,0.5257,22.74,-0.6871,117.1
MeanRevLowVol,AVAXUSDC,4,"{'ma_period': 50, 'z_entry': 2.0, 'vol_max_pctile': 40}",8730.57,-12.6943,-0.1084,29,51.72,0.8115,18.2,-0.3855,117.1
WeekendGapFade,BNBUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",8722.46,-12.7754,-0.1091,29,34.48,0.5489,21.49,-0.8206,117.1
VolBreakoutMom,AVAXUSDC,0,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.0, 'sl_atr_mult': 1.0}",8671.74,-13.2826,-0.1135,158,35.44,0.9591,36.55,-0.0655,117.1
WeekendGapFade,DOGEUSDC,4,"{'gap_atr_mult': 2.5, 'sl_atr_mult': 2.0}",8668.49,-13.3151,-0.1137,10,30.0,0.3451,20.67,-0.8809,117.1
VolBreakoutMom,SOLUSDC,0,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.0, 'sl_atr_mult': 1.0}",8659.83,-13.4017,-0.1145,98,37.76,0.9301,37.04,-0.143,117.1
MeanRevLowVol,BNBUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",8657.01,-13.4299,-0.1147,45,53.33,0.7809,30.54,-0.5138,117.1
MeanRevLowVol,BTCUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",8656.46,-13.4354,-0.1148,34,50.0,0.6938,20.53,-0.7853,117.1
VolBreakoutMom,NEARUSDC,3,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",8627.21,-13.7279,-0.1173,63,25.4,0.9239,38.39,-0.088,117.1
MeanRevLowVol,BNBUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",8617.99,-13.8201,-0.118,55,52.73,0.7677,30.69,-0.5566,117.1
WeekendGapFade,SOLUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",8602.32,-13.9768,-0.1194,34,38.24,0.7169,25.39,-0.5781,117.1
BTCResidualMR,AVAXUSDC,4,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.7}",8552.24,-14.4776,-0.1237,30,43.33,0.7725,21.98,-0.4082,117.1
TSMOM,BTCUSDC,1,"{'lookback': 8, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",8525.47,-14.7453,-0.126,176,40.34,0.943,37.82,-0.1767,117.1
TSMOM,NEARUSDC,4,"{'lookback': 24, 'z_threshold': 0.75, 'vol_min_ann': 0.2}",8514.27,-14.8573,-0.1269,111,37.84,0.9539,39.7,-0.0423,117.1
TSMOM,SOLUSDC,4,"{'lookback': 24, 'z_threshold': 0.75, 'vol_min_ann': 0.2}",8510.28,-14.8972,-0.1272,86,39.53,0.9261,36.94,-0.1302,117.1
MeanRevLowVol,BNBUSDC,3,"{'ma_period': 30, 'z_entry': 2.5, 'vol_max_pctile': 50}",8447.54,-15.5246,-0.1326,36,50.0,0.7218,27.64,-0.5566,117.1
WeekendGapFade,ADAUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",8388.67,-16.1133,-0.1376,29,41.38,0.6297,17.59,-0.7036,117.1
VolBreakoutMom,AVAXUSDC,3,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",8374.58,-16.2542,-0.1388,86,26.74,0.9155,36.38,-0.1414,117.1
BTCResidualMR,ADAUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",8365.59,-16.3441,-0.1396,68,48.53,0.8979,37.51,-0.247,117.1
VolBreakoutMom,NEARUSDC,0,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.0, 'sl_atr_mult': 1.0}",8346.18,-16.5382,-0.1413,97,34.02,0.9278,35.28,-0.1446,117.1
WeekendGapFade,ETHUSDC,4,"{'gap_atr_mult': 2.5, 'sl_atr_mult': 2.0}",8325.8,-16.742,-0.143,7,14.29,0.0708,16.74,-1.4658,117.1
BTCResidualMR,XRPUSDC,4,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.7}",8311.0,-16.89,-0.1443,23,47.83,0.6346,31.98,-0.4976,117.1
WeekendGapFade,ETHUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",8306.93,-16.9307,-0.1446,26,26.92,0.4929,20.62,-1.0039,117.1
WeekendGapFade,XRPUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",8304.23,-16.9577,-0.1448,15,33.33,0.4768,26.85,-0.8661,117.1
TSMOM,SOLUSDC,2,"{'lookback': 12, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",8290.65,-17.0935,-0.146,56,35.71,0.8736,37.71,-0.2748,117.1
MeanRevLowVol,BTCUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",8280.88,-17.1912,-0.1468,64,50.0,0.7579,28.36,-0.6374,117.1
WeekendGapFade,DOGEUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",8272.08,-17.2792,-0.1476,16,37.5,0.4177,24.39,-0.7513,117.1
WeekendGapFade,SOLUSDC,4,"{'gap_atr_mult': 2.5, 'sl_atr_mult': 2.0}",8268.22,-17.3178,-0.1479,8,25.0,0.2501,20.8,-1.0428,117.1
MeanRevLowVol,ETHUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",8257.93,-17.4207,-0.1488,29,44.83,0.6837,25.09,-0.5703,117.1
TSMOM,SOLUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",8249.05,-17.5095,-0.1496,156,40.38,0.9385,37.23,-0.1105,117.1
VolBreakoutMom,ETHUSDC,3,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",8225.18,-17.7482,-0.1516,54,27.78,0.8098,36.4,-0.4366,117.1
WeekendGapFade,BTCUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",8189.02,-18.1098,-0.1547,20,25.0,0.2949,24.54,-1.4049,117.1
MeanRevLowVol,SOLUSDC,4,"{'ma_period': 50, 'z_entry': 2.0, 'vol_max_pctile': 40}",8187.24,-18.1276,-0.1548,28,50.0,0.7164,23.06,-0.6065,117.1
TSMOM,BNBUSDC,3,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",8184.66,-18.1534,-0.1551,95,37.89,0.8806,36.62,-0.3313,117.1
WeekendGapFade,XRPUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",8184.13,-18.1587,-0.1551,29,31.03,0.5438,24.87,-0.9725,117.1
VolBreakoutMom,DOGEUSDC,2,"{'lookback': 10, 'k_threshold': 2.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.5}",8183.27,-18.1673,-0.1552,37,29.73,0.8277,37.06,-0.2659,117.1
VolBreakoutMom,ETHUSDC,4,"{'lookback': 20, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.5}",8181.63,-18.1837,-0.1553,55,36.36,0.8184,36.88,-0.4841,117.1
