strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",14471.3,44.713,0.3819,99,47.47,1.1523,36.0,0.6112,117.1
TSMOM,XRPUSDC,"{'lookback': 11, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",14426.43,44.2643,0.3781,169,42.01,1.1058,33.24,0.5938,117.1
TSMOM,SOLUSDC,"{'lookback': 13, 'z_threshold': 0.8, 'vol_min_ann': 0.25}",14417.23,44.1723,0.3773,110,43.64,1.1375,37.25,0.5914,117.1
TSMOM,SOLUSDC,"{'lookback': 13, 'z_threshold': 0.8, 'vol_min_ann': 0.3}",14417.23,44.1723,0.3773,110,43.64,1.1375,37.25,0.5914,117.1
TSMOM,SOLUSDC,"{'lookback': 13, 'z_threshold': 0.8, 'vol_min_ann': 0.35}",14417.23,44.1723,0.3773,110,43.64,1.1375,37.25,0.5914,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",14333.42,43.3342,0.3702,148,45.27,1.0911,35.77,0.5744,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",14333.42,43.3342,0.3702,148,45.27,1.0911,35.77,0.5744,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",14333.42,43.3342,0.3702,148,45.27,1.0911,35.77,0.5744,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 0.7, 'vol_min_ann': 0.35}",14304.02,43.0402,0.3676,190,42.63,1.0936,36.99,0.5659,117.1
TSMOM,AVAXUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",14303.53,43.0353,0.3676,162,43.21,1.0819,32.85,0.5874,117.1
TSMOM,AVAXUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",14303.53,43.0353,0.3676,162,43.21,1.0819,32.85,0.5874,117.1
TSMOM,AVAXUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",14303.53,43.0353,0.3676,162,43.21,1.0819,32.85,0.5874,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 0.8, 'vol_min_ann': 0.35}",14170.55,41.7055,0.3562,182,42.86,1.0853,37.1,0.5465,117.1
TSMOM,ADAUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",14168.53,41.6853,0.3561,150,41.33,1.1015,35.99,0.5637,117.1
TSMOM,XRPUSDC,"{'lookback': 11, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",14060.7,40.607,0.3469,175,41.71,1.0969,33.45,0.5659,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",14049.96,40.4996,0.3459,152,44.08,1.0978,36.22,0.5755,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",13883.89,38.8389,0.3318,134,44.03,1.1165,35.01,0.6094,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 0.8, 'vol_min_ann': 0.25}",13845.88,38.4588,0.3285,191,41.36,1.0717,36.66,0.5379,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.7, 'vol_min_ann': 0.25}",13797.72,37.9772,0.3244,215,40.93,1.0671,33.37,0.5384,117.1
TSMOM,ADAUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",13790.34,37.9034,0.3238,149,40.94,1.0946,35.99,0.5338,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 0.9, 'vol_min_ann': 0.35}",13768.58,37.6858,0.3219,182,42.86,1.0755,33.4,0.5354,117.1
TSMOM,ADAUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",13661.27,36.6127,0.3127,152,40.79,1.0913,35.99,0.525,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.7, 'vol_min_ann': 0.3}",13641.41,36.4141,0.311,201,41.29,1.0662,36.5,0.5331,117.1
TSMOM,XRPUSDC,"{'lookback': 12, 'z_threshold': 0.8, 'vol_min_ann': 0.25}",13543.79,35.4379,0.3027,200,41.0,1.0729,30.54,0.5171,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 0.7, 'vol_min_ann': 0.25}",13478.48,34.7848,0.2971,193,41.97,1.0788,36.99,0.5059,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 0.7, 'vol_min_ann': 0.3}",13453.26,34.5326,0.295,192,41.67,1.0787,36.99,0.504,117.1
TSMOM,AVAXUSDC,"{'lookback': 12, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",13353.68,33.5368,0.2865,185,42.16,1.0572,35.4,0.5024,117.1
TSMOM,AVAXUSDC,"{'lookback': 12, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",13353.68,33.5368,0.2865,185,42.16,1.0572,35.4,0.5024,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",13329.52,33.2952,0.2844,131,43.51,1.1036,35.01,0.5544,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",13207.15,32.0715,0.2739,155,41.29,1.0754,35.47,0.4943,117.1
TSMOM,ADAUSDC,"{'lookback': 12, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",13191.08,31.9108,0.2726,151,41.06,1.0809,37.05,0.4753,117.1
TSMOM,XRPUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",13125.25,31.2525,0.267,160,41.88,1.0856,26.74,0.5247,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",13107.1,31.071,0.2654,145,42.07,1.0824,38.18,0.4727,117.1
TSMOM,XRPUSDC,"{'lookback': 12, 'z_threshold': 0.8, 'vol_min_ann': 0.35}",13098.01,30.9801,0.2646,187,41.18,1.064,32.54,0.4847,117.1
TSMOM,AVAXUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",13078.67,30.7867,0.263,148,41.89,1.0636,38.73,0.4967,117.1
TSMOM,AVAXUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",13078.67,30.7867,0.263,148,41.89,1.0636,38.73,0.4967,117.1
TSMOM,AVAXUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",13078.67,30.7867,0.263,148,41.89,1.0636,38.73,0.4967,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 0.7, 'vol_min_ann': 0.35}",13072.43,30.7243,0.2624,213,41.31,1.0572,36.32,0.4936,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 0.7, 'vol_min_ann': 0.35}",13058.43,30.5843,0.2612,186,41.4,1.0665,35.75,0.4863,117.1
TSMOM,ADAUSDC,"{'lookback': 12, 'z_threshold': 0.7, 'vol_min_ann': 0.35}",13032.65,30.3265,0.259,190,43.16,1.0555,39.53,0.4742,117.1
TSMOM,XRPUSDC,"{'lookback': 10, 'z_threshold': 0.9, 'vol_min_ann': 0.35}",13026.33,30.2633,0.2585,174,41.38,1.074,29.06,0.4919,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",12955.92,29.5592,0.2525,156,41.03,1.0702,35.47,0.4734,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",12956.05,29.5605,0.2525,138,42.03,1.075,37.51,0.4678,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",12947.1,29.471,0.2517,176,42.05,1.0655,37.18,0.4618,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",12910.75,29.1075,0.2486,176,42.05,1.0647,37.36,0.459,117.1
TSMOM,ADAUSDC,"{'lookback': 12, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",12838.98,28.3898,0.2425,150,40.67,1.0738,37.05,0.4493,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 0.7, 'vol_min_ann': 0.3}",12838.21,28.3821,0.2424,190,41.05,1.0619,35.75,0.4665,117.1
TSMOM,XRPUSDC,"{'lookback': 12, 'z_threshold': 0.8, 'vol_min_ann': 0.3}",12777.84,27.7784,0.2373,196,40.82,1.0569,33.91,0.4588,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",12776.77,27.7677,0.2372,156,42.95,1.0691,38.11,0.4799,117.1
TSMOM,SOLUSDC,"{'lookback': 12, 'z_threshold': 0.9, 'vol_min_ann': 0.35}",12747.56,27.4756,0.2347,175,41.71,1.0619,37.09,0.4463,117.1
TSMOM,ADAUSDC,"{'lookback': 12, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",12713.36,27.1336,0.2318,153,40.52,1.0704,37.05,0.4401,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",12709.72,27.0972,0.2315,144,41.67,1.0737,38.18,0.4411,117.1
TSMOM,ADAUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",12672.44,26.7244,0.2283,171,40.35,1.0595,35.07,0.4491,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",12645.39,26.4539,0.226,147,41.5,1.0718,38.18,0.4359,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.8, 'vol_min_ann': 0.35}",12617.96,26.1796,0.2236,193,41.97,1.0516,34.43,0.442,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.9, 'vol_min_ann': 0.35}",12579.13,25.7913,0.2203,175,42.86,1.0542,35.36,0.4428,117.1
TSMOM,XRPUSDC,"{'lookback': 10, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",12572.11,25.7211,0.2197,181,40.33,1.0621,28.57,0.4513,117.1
TSMOM,XRPUSDC,"{'lookback': 10, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",12572.11,25.7211,0.2197,181,40.33,1.0621,28.57,0.4513,117.1
TSMOM,AVAXUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",12523.68,25.2368,0.2156,85,43.53,1.0855,37.02,0.4589,117.1
TSMOM,AVAXUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",12523.68,25.2368,0.2156,85,43.53,1.0855,37.02,0.4589,117.1
TSMOM,AVAXUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",12523.68,25.2368,0.2156,85,43.53,1.0855,37.02,0.4589,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",12456.19,24.5619,0.2098,158,40.51,1.0598,35.47,0.4289,117.1
TSMOM,AVAXUSDC,"{'lookback': 12, 'z_threshold': 0.9, 'vol_min_ann': 0.35}",12365.5,23.655,0.2021,178,41.57,1.042,36.87,0.422,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 0.7, 'vol_min_ann': 0.25}",12345.27,23.4527,0.2003,192,40.62,1.0525,35.75,0.4214,117.1
TSMOM,ADAUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",12332.66,23.3266,0.1993,170,40.0,1.0533,35.07,0.4198,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",12317.21,23.1721,0.1979,190,42.63,1.0475,34.81,0.4195,117.1
TSMOM,XRPUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",12270.0,22.7,0.1939,167,40.72,1.0632,27.3,0.435,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.8, 'vol_min_ann': 0.25}",12230.56,22.3056,0.1905,206,41.26,1.0466,31.25,0.4082,117.1
TSMOM,AVAXUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",12209.65,22.0965,0.1887,151,42.38,1.0522,35.89,0.4077,117.1
TSMOM,AVAXUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",12209.65,22.0965,0.1887,151,42.38,1.0522,35.89,0.4077,117.1
TSMOM,AVAXUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",12209.65,22.0965,0.1887,151,42.38,1.0522,35.89,0.4077,117.1
TSMOM,ADAUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",12207.75,22.0775,0.1886,173,39.88,1.0504,35.07,0.4088,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",12198.4,21.984,0.1878,193,41.97,1.0452,34.17,0.4083,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",12184.36,21.8436,0.1866,152,44.74,1.0496,35.82,0.4174,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",12149.98,21.4998,0.1836,170,42.35,1.0543,33.96,0.4102,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",12124.53,21.2453,0.1815,189,41.8,1.0451,35.77,0.3994,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 0.9, 'vol_min_ann': 0.35}",12092.34,20.9234,0.1787,161,39.13,1.0498,37.11,0.3951,117.1
TSMOM,AVAXUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",12088.61,20.8861,0.1784,90,42.22,1.0688,37.59,0.407,117.1
TSMOM,AVAXUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",12088.61,20.8861,0.1784,90,42.22,1.0688,37.59,0.407,117.1
TSMOM,AVAXUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",12088.61,20.8861,0.1784,90,42.22,1.0688,37.59,0.407,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",12076.47,20.7647,0.1774,164,42.07,1.0528,34.95,0.4038,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 0.8, 'vol_min_ann': 0.25}",12044.41,20.4441,0.1746,187,41.18,1.0464,37.1,0.3874,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 0.8, 'vol_min_ann': 0.3}",12023.9,20.239,0.1729,186,40.86,1.0462,37.1,0.3857,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.35}",11892.61,18.9261,0.1617,151,44.37,1.043,37.36,0.3882,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",11875.33,18.7533,0.1602,151,44.37,1.0426,37.45,0.3864,117.1
TSMOM,XRPUSDC,"{'lookback': 11, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",11867.1,18.671,0.1595,167,40.72,1.0537,27.3,0.3893,117.1
TSMOM,ADAUSDC,"{'lookback': 14, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",11784.73,17.8473,0.1524,138,41.3,1.0481,37.51,0.3632,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",11747.0,17.47,0.1492,186,40.86,1.0388,35.95,0.3635,117.1
