strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",22813.68,128.1368,1.0945,128,35.94,1.2806,30.7,0.9551,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",22743.89,127.4389,1.0886,149,34.23,1.2144,36.05,0.9516,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 18, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",22570.63,125.7063,1.0738,77,38.96,1.6151,19.28,1.2437,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",22564.47,125.6447,1.0732,131,30.53,1.309,36.31,0.88,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",22564.48,125.6448,1.0732,141,35.46,1.253,26.64,0.9439,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",22561.13,125.6113,1.0729,143,23.78,1.2552,36.49,0.8435,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",22516.86,125.1686,1.0692,139,35.25,1.2491,31.81,0.9292,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.2}",22499.04,124.9904,1.0676,154,39.61,1.1813,33.93,1.019,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",22337.56,123.3756,1.0538,124,27.42,1.3018,37.1,0.7782,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",22244.36,122.4436,1.0459,107,28.04,1.3505,36.57,0.7768,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",22165.12,121.6512,1.0391,168,33.93,1.1693,38.68,0.912,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",22145.63,121.4563,1.0375,120,28.33,1.349,27.84,1.0434,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 8, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",22103.93,121.0393,1.0339,95,35.79,1.301,27.44,0.9342,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",22009.05,120.0905,1.0258,111,28.83,1.4277,25.26,1.1778,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",21918.65,119.1865,1.0181,149,34.9,1.215,34.19,0.9035,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",21888.87,118.8887,1.0155,120,39.17,1.3254,25.35,1.1307,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 18, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.2}",21683.1,116.831,0.9979,136,38.97,1.2782,22.51,1.006,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",21661.84,116.6184,0.9961,152,30.26,1.2427,36.91,0.8581,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 18, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",21556.5,115.565,0.9871,77,33.77,1.6537,15.98,1.2129,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",21489.0,114.89,0.9814,155,30.97,1.1653,37.29,0.9041,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",21337.82,113.3782,0.9685,145,31.03,1.2189,32.17,0.9307,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.2}",21088.29,110.8829,0.9471,119,42.02,1.2851,25.36,1.0224,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 18, 'k_threshold': 1.25, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",21043.57,110.4357,0.9433,125,36.0,1.278,37.06,0.9035,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 15, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",20985.26,109.8526,0.9383,73,30.14,1.6278,18.82,1.2289,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",20936.44,109.3644,0.9342,100,37.0,1.3396,33.26,1.0565,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 15, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",20908.13,109.0813,0.9318,73,34.25,1.5362,22.56,1.2207,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 8, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",20874.56,108.7456,0.9289,95,32.63,1.3119,22.38,0.9181,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",20814.62,108.1462,0.9238,161,30.43,1.1818,35.88,0.9065,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",20811.44,108.1144,0.9235,118,27.12,1.2438,36.3,0.855,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",20764.12,107.6412,0.9194,117,30.77,1.3703,27.84,1.0359,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",20527.11,105.2711,0.8992,130,26.92,1.2576,37.5,0.7208,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",20521.07,105.2107,0.8987,181,31.49,1.1857,29.58,0.9437,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",20519.74,105.1974,0.8986,124,37.1,1.2917,24.51,1.0666,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 15, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",20385.57,103.8557,0.8871,77,37.66,1.5502,19.97,1.1516,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",20286.03,102.8603,0.8786,162,30.25,1.1416,37.75,0.8463,117.1
